   Compiling ../../adder_test.cpp in debug mode
   Compiling ../../adder.cpp in debug mode
   Generating csim.exe
Expected 4358, got 4358
Expected 4374, got 4374
Expected 4390, got 4390
Expected 4406, got 4406
Expected 4422, got 4422
Expected 4438, got 4438
Expected 4454, got 4454
Expected 4470, got 4470
Expected 4486, got 4486
Expected 4502, got 4502
Expected 4518, got 4518
Expected 4534, got 4534
Expected 4550, got 4550
Expected 4566, got 4566
Expected 4582, got 4582
Expected 4598, got 4598
Expected 4614, got 4614
Expected 4630, got 4630
Expected 4646, got 4646
Expected 4662, got 4662
Expected 4678, got 4678
Expected 4694, got 4694
Expected 4710, got 4710
Expected 4726, got 4726
Expected 4742, got 4742
Expected 4758, got 4758
Expected 4774, got 4774
Expected 4790, got 4790
Expected 4806, got 4806
Expected 4822, got 4822
Expected 4838, got 4838
Expected 4854, got 4854
Expected 4870, got 4870
Expected 4886, got 4886
Expected 4902, got 4902
Expected 4918, got 4918
Expected 4934, got 4934
Expected 4950, got 4950
Expected 4966, got 4966
Expected 4982, got 4982
Expected 4998, got 4998
Expected 5014, got 5014
Expected 5030, got 5030
Expected 5046, got 5046
Expected 5062, got 5062
Expected 5078, got 5078
Expected 5094, got 5094
Expected 5110, got 5110
Expected 5126, got 5126
Expected 5142, got 5142
Expected 5158, got 5158
Expected 5174, got 5174
Expected 5190, got 5190
Expected 5206, got 5206
Expected 5222, got 5222
Expected 5238, got 5238
Expected 5254, got 5254
Expected 5270, got 5270
Expected 5286, got 5286
Expected 5302, got 5302
Expected 5318, got 5318
Expected 5334, got 5334
Expected 5350, got 5350
Expected 5366, got 5366
Expected 5382, got 5382
Expected 5398, got 5398
Expected 5414, got 5414
Expected 5430, got 5430
Expected 5446, got 5446
Expected 5462, got 5462
Expected 5478, got 5478
Expected 5494, got 5494
Expected 5510, got 5510
Expected 5526, got 5526
Expected 5542, got 5542
Expected 5558, got 5558
Expected 5574, got 5574
Expected 5590, got 5590
Expected 5606, got 5606
Expected 5622, got 5622
Expected 5638, got 5638
Expected 5654, got 5654
Expected 5670, got 5670
Expected 5686, got 5686
Expected 5702, got 5702
Expected 5718, got 5718
Expected 5734, got 5734
Expected 5750, got 5750
Expected 5766, got 5766
Expected 5782, got 5782
Expected 5798, got 5798
Expected 5814, got 5814
Expected 5830, got 5830
Expected 5846, got 5846
Expected 5862, got 5862
Expected 5878, got 5878
Expected 5894, got 5894
Expected 5910, got 5910
Expected 5926, got 5926
Expected 5942, got 5942
Expected 5958, got 5958
Expected 5974, got 5974
Expected 5990, got 5990
Expected 6006, got 6006
Expected 6022, got 6022
Expected 6038, got 6038
Expected 6054, got 6054
Expected 6070, got 6070
Expected 6086, got 6086
Expected 6102, got 6102
Expected 6118, got 6118
Expected 6134, got 6134
Expected 6150, got 6150
Expected 6166, got 6166
Expected 6182, got 6182
Expected 6198, got 6198
Expected 6214, got 6214
Expected 6230, got 6230
Expected 6246, got 6246
Expected 6262, got 6262
Expected 6278, got 6278
Expected 6294, got 6294
Expected 6310, got 6310
Expected 6326, got 6326
Expected 6342, got 6342
Expected 6358, got 6358
Expected 6374, got 6374
Expected 6390, got 6390
Expected 6406, got 6406
Expected 6422, got 6422
Expected 6438, got 6438
Expected 6454, got 6454
Expected 6470, got 6470
Expected 6486, got 6486
Expected 6502, got 6502
Expected 6518, got 6518
Expected 6534, got 6534
Expected 6550, got 6550
Expected 6566, got 6566
Expected 6582, got 6582
Expected 6598, got 6598
Expected 6614, got 6614
Expected 6630, got 6630
Expected 6646, got 6646
Expected 6662, got 6662
Expected 6678, got 6678
Expected 6694, got 6694
Expected 6710, got 6710
Expected 6726, got 6726
Expected 6742, got 6742
Expected 6758, got 6758
Expected 6774, got 6774
Expected 6790, got 6790
Expected 6806, got 6806
Expected 6822, got 6822
Expected 6838, got 6838
Expected 6854, got 6854
Expected 6870, got 6870
Expected 6886, got 6886
Expected 6902, got 6902
Expected 6918, got 6918
Expected 6934, got 6934
Expected 6950, got 6950
Expected 6966, got 6966
Expected 6982, got 6982
Expected 6998, got 6998
Expected 7014, got 7014
Expected 7030, got 7030
Expected 7046, got 7046
Expected 7062, got 7062
Expected 7078, got 7078
Expected 7094, got 7094
Expected 7110, got 7110
Expected 7126, got 7126
Expected 7142, got 7142
Expected 7158, got 7158
Expected 7174, got 7174
Expected 7190, got 7190
Expected 7206, got 7206
Expected 7222, got 7222
Expected 7238, got 7238
Expected 7254, got 7254
Expected 7270, got 7270
Expected 7286, got 7286
Expected 7302, got 7302
Expected 7318, got 7318
Expected 7334, got 7334
Expected 7350, got 7350
Expected 7366, got 7366
Expected 7382, got 7382
Expected 7398, got 7398
Expected 7414, got 7414
Expected 7430, got 7430
Expected 7446, got 7446
Expected 7462, got 7462
Expected 7478, got 7478
Expected 7494, got 7494
Expected 7510, got 7510
Expected 7526, got 7526
Expected 7542, got 7542
Expected 7558, got 7558
Expected 7574, got 7574
Expected 7590, got 7590
Expected 7606, got 7606
Expected 7622, got 7622
Expected 7638, got 7638
Expected 7654, got 7654
Expected 7670, got 7670
Expected 7686, got 7686
Expected 7702, got 7702
Expected 7718, got 7718
Expected 7734, got 7734
Expected 7750, got 7750
Expected 7766, got 7766
Expected 7782, got 7782
Expected 7798, got 7798
Expected 7814, got 7814
Expected 7830, got 7830
Expected 7846, got 7846
Expected 7862, got 7862
Expected 7878, got 7878
Expected 7894, got 7894
Expected 7910, got 7910
Expected 7926, got 7926
Expected 7942, got 7942
Expected 7958, got 7958
Expected 7974, got 7974
Expected 7990, got 7990
Expected 8006, got 8006
Expected 8022, got 8022
Expected 8038, got 8038
Expected 8054, got 8054
Expected 8070, got 8070
Expected 8086, got 8086
Expected 8102, got 8102
Expected 8118, got 8118
Expected 8134, got 8134
Expected 8150, got 8150
Expected 8166, got 8166
Expected 8182, got 8182
Expected 8198, got 8198
Expected 8214, got 8214
Expected 8230, got 8230
Expected 8246, got 8246
Expected 8262, got 8262
Expected 8278, got 8278
Expected 8294, got 8294
Expected 8310, got 8310
Expected 8326, got 8326
Expected 8342, got 8342
Expected 8358, got 8358
Expected 8374, got 8374
Expected 8390, got 8390
Expected 8406, got 8406
Expected 8422, got 8422
Expected 8438, got 8438
Expected 8454, got 8454
Expected 8470, got 8470
Expected 8486, got 8486
Expected 8502, got 8502
Expected 8518, got 8518
Expected 8534, got 8534
Expected 8550, got 8550
Expected 8566, got 8566
Expected 8582, got 8582
Expected 8598, got 8598
Expected 8614, got 8614
Expected 8630, got 8630
Expected 8646, got 8646
Expected 8662, got 8662
Expected 8678, got 8678
Expected 8694, got 8694
Expected 8710, got 8710
Expected 8726, got 8726
Expected 8742, got 8742
Expected 8758, got 8758
Expected 8774, got 8774
Expected 8790, got 8790
Expected 8806, got 8806
Expected 8822, got 8822
Expected 8838, got 8838
Expected 8854, got 8854
Expected 8870, got 8870
Expected 8886, got 8886
Expected 8902, got 8902
Expected 8918, got 8918
Expected 8934, got 8934
Expected 8950, got 8950
Expected 8966, got 8966
Expected 8982, got 8982
Expected 8998, got 8998
Expected 9014, got 9014
Expected 9030, got 9030
Expected 9046, got 9046
Expected 9062, got 9062
Expected 9078, got 9078
Expected 9094, got 9094
Expected 9110, got 9110
Expected 9126, got 9126
Expected 9142, got 9142
Expected 9158, got 9158
Expected 9174, got 9174
Expected 9190, got 9190
Expected 9206, got 9206
Expected 9222, got 9222
Expected 9238, got 9238
Expected 9254, got 9254
Expected 9270, got 9270
Expected 9286, got 9286
Expected 9302, got 9302
Expected 9318, got 9318
Expected 9334, got 9334
Expected 9350, got 9350
Expected 9366, got 9366
Expected 9382, got 9382
Expected 9398, got 9398
Expected 9414, got 9414
Expected 9430, got 9430
Expected 9446, got 9446
Expected 9462, got 9462
Expected 9478, got 9478
Expected 9494, got 9494
Expected 9510, got 9510
Expected 9526, got 9526
Expected 9542, got 9542
Expected 9558, got 9558
Expected 9574, got 9574
Expected 9590, got 9590
Expected 9606, got 9606
Expected 9622, got 9622
Expected 9638, got 9638
Expected 9654, got 9654
Expected 9670, got 9670
Expected 9686, got 9686
Expected 9702, got 9702
Expected 9718, got 9718
Expected 9734, got 9734
Expected 9750, got 9750
Expected 9766, got 9766
Expected 9782, got 9782
Expected 9798, got 9798
Expected 9814, got 9814
Expected 9830, got 9830
Expected 9846, got 9846
Expected 9862, got 9862
Expected 9878, got 9878
Expected 9894, got 9894
Expected 9910, got 9910
Expected 9926, got 9926
Expected 9942, got 9942
Expected 9958, got 9958
Expected 9974, got 9974
Expected 9990, got 9990
Expected 10006, got 10006
Expected 10022, got 10022
Expected 10038, got 10038
Expected 10054, got 10054
Expected 10070, got 10070
Expected 10086, got 10086
Expected 10102, got 10102
Expected 10118, got 10118
Expected 10134, got 10134
Expected 10150, got 10150
Expected 10166, got 10166
Expected 10182, got 10182
Expected 10198, got 10198
Expected 10214, got 10214
Expected 10230, got 10230
Expected 10246, got 10246
Expected 10262, got 10262
Expected 10278, got 10278
Expected 10294, got 10294
Expected 10310, got 10310
Expected 10326, got 10326
Expected 10342, got 10342
Expected 10358, got 10358
Expected 10374, got 10374
Expected 10390, got 10390
Expected 10406, got 10406
Expected 10422, got 10422
Expected 10438, got 10438
Expected 10454, got 10454
Expected 10470, got 10470
Expected 10486, got 10486
Expected 10502, got 10502
Expected 10518, got 10518
Expected 10534, got 10534
Expected 10550, got 10550
Expected 10566, got 10566
Expected 10582, got 10582
Expected 10598, got 10598
Expected 10614, got 10614
Expected 10630, got 10630
Expected 10646, got 10646
Expected 10662, got 10662
Expected 10678, got 10678
Expected 10694, got 10694
Expected 10710, got 10710
Expected 10726, got 10726
Expected 10742, got 10742
Expected 10758, got 10758
Expected 10774, got 10774
Expected 10790, got 10790
Expected 10806, got 10806
Expected 10822, got 10822
Expected 10838, got 10838
Expected 10854, got 10854
Expected 10870, got 10870
Expected 10886, got 10886
Expected 10902, got 10902
Expected 10918, got 10918
Expected 10934, got 10934
Expected 10950, got 10950
Expected 10966, got 10966
Expected 10982, got 10982
Expected 10998, got 10998
Expected 11014, got 11014
Expected 11030, got 11030
Expected 11046, got 11046
Expected 11062, got 11062
Expected 11078, got 11078
Expected 11094, got 11094
Expected 11110, got 11110
Expected 11126, got 11126
Expected 11142, got 11142
Expected 11158, got 11158
Expected 11174, got 11174
Expected 11190, got 11190
Expected 11206, got 11206
Expected 11222, got 11222
Expected 11238, got 11238
Expected 11254, got 11254
Expected 11270, got 11270
Expected 11286, got 11286
Expected 11302, got 11302
Expected 11318, got 11318
Expected 11334, got 11334
Expected 11350, got 11350
Expected 11366, got 11366
Expected 11382, got 11382
Expected 11398, got 11398
Expected 11414, got 11414
Expected 11430, got 11430
Expected 11446, got 11446
Expected 11462, got 11462
Expected 11478, got 11478
Expected 11494, got 11494
Expected 11510, got 11510
Expected 11526, got 11526
Expected 11542, got 11542
Expected 11558, got 11558
Expected 11574, got 11574
Expected 11590, got 11590
Expected 11606, got 11606
